# --------------------------------------------------
Keyword,prince2
Suggestion Type,Mix of sources (default)
Filters,""
Total Results,1000
Volume Minimum,0
Volume Maximum,2900
Export Date,2017-03-02
# --------------------------------------------------


Keyword,Relevancy,Min Volume,Max Volume
prince two project management,5,n/a,n/a
prince2 pm,5,n/a,n/a
prince qualification uk,5,n/a,n/a
prince2 accredited list,5,n/a,n/a
prince2 certified logo,5,n/a,n/a
prince 2 training courses,5,n/a,n/a
prince certificate,5,n/a,n/a
prince2 testing,5,n/a,n/a
prince project management course,5,n/a,n/a
prince2 examination board,5,n/a,n/a
prince2 versions,5,n/a,n/a
foundation prince2,5,n/a,n/a
prince2 foundation courses,5,n/a,n/a
prince2 project management tool,5,n/a,n/a
prince2 certified project manager,5,n/a,n/a
project in controlled environment,5,n/a,n/a
prince2 foundation course price,5,n/a,n/a
project management course prince2,5,n/a,n/a
prince2 project management exam,5,n/a,n/a
prince 11 training,5,n/a,n/a
princes project management,5,n/a,n/a
prince2 certificate validity,5,n/a,n/a
getting prince2 certification,5,n/a,n/a
it prince2,5,n/a,n/a
pmi prince2,5,n/a,n/a
prince project management qualification,5,0,10
prince project management courses,5,n/a,n/a
project management prince 2,5,n/a,n/a
is prince2 recognised in usa,5,n/a,n/a
prince2 practitioner certified,5,n/a,n/a
prince certification,5,101,200
prince courses,5,n/a,n/a
prince tool project management,5,n/a,n/a
prince2 equivalent,5,n/a,n/a
prince2 official website,5,n/a,n/a
prince2 foundation & practitioner certification cost,5,n/a,n/a
prince2 certified trainers,5,n/a,n/a
prince training,5,n/a,n/a
uk prince2,5,n/a,n/a
prince2 2009,5,n/a,n/a
prince2 certified professional project manager,5,n/a,n/a
apm group prince2 syllabus,5,n/a,n/a
prince 11 project management,5,n/a,n/a
prince2 exam booking,5,n/a,n/a
prince2 project,5,n/a,n/a
prince2 project control board,5,n/a,n/a
prince2 project board training,5,n/a,n/a
prince2 training course uk,5,n/a,n/a
prince2 foundation london,5,n/a,n/a
prince2 programme,5,n/a,n/a
prince2 project management approach,5,n/a,n/a
best prince2 provider,5,n/a,n/a
official prince2 manual free,5,n/a,n/a
prince2 certification in london,5,n/a,n/a
prince2 training courses london,5,0,10
prince2 foundation qualified,5,n/a,n/a
what is prince2 foundation exam,5,n/a,n/a
prince2 successful candidate register uk,5,n/a,n/a
prince2 certification validity,5,n/a,n/a
prince2 org uk,5,n/a,n/a
prince2 practitioner wiki,5,n/a,n/a
prince2 pmp,5,0,10
